0.855357	0.822171	1.260596	1.309438	1.179461	1.192036	1.246476	1.217150	1.242750	1.194719
0.780111	0.789738	1.201540	1.285189	1.224090	1.296839	1.298743	1.350267	1.362517	1.284045
0.346915	0.625940	0.988455	0.986267	1.090342	1.108684	1.129645	1.016593	1.140087	0.942196
0.482001	1.019794	0.880301	1.106059	1.141679	1.057687	1.040964	1.007910	1.018708	1.006179
0.947135	1.052035	1.171926	1.337435	1.445100	1.474161	1.532901	1.441613	1.451773	1.013457
0.455710	0.627454	0.719044	0.834534	0.901524	0.878865	0.928367	0.928488	0.996100	0.984893
0.067467	0.211834	0.402564	0.687367	0.923175	1.091472	1.285318	1.264385	1.363588	1.226618
0.402517	0.576190	0.592620	0.633864	0.748649	1.066254	1.499337	1.696390	1.995563	0.107108
0.300103	0.398954	0.370426	0.441995	0.431219	0.676183	1.007792	1.354943	1.297693	1.287143
0.001000	0.082262	0.325053	0.392564	0.249130	0.501246	0.647692	1.040997	1.023241	0.277797
