species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
afla,aba,1892.0,1909.5,900.0,,,,,,,
afla,abo,1965.5,1986.0,2053.5,,,903.0,,1399.5,,
afla,ace,1904.0,1726.5,687.0,,,753.0,,1401.0,,
afla,acet,1902.0,1975.5,744.0,,,829.5,,,,
afla,achr,1935.0,1899.0,736.5,,,769.5,,1143.0,1198.5,
afla,acib,1860.5,2229.0,2146.5,,,,,,,
afla,acid,1960.0,1846.5,1884.0,,,834.0,,1237.5,1260.0,
afla,acii,2010.5,1839.0,664.5,,,580.5,,1219.5,,
afla,acin,1958.5,1866.0,1870.5,,,837.0,,1237.5,1267.5,
afla,acio,1981.5,1903.5,711.0,,,726.0,,1216.5,1269.0,
afla,acip,1960.0,1849.5,1876.5,,,832.5,,1231.5,1267.5,
afla,acis,1960.0,1849.5,757.5,,,766.5,,1231.5,1267.5,
afla,ack,1966.0,1897.5,1869.0,,,838.5,,1224.0,,
afla,acom,1936.0,1893.0,1963.5,,,,,1306.5,1272.0,
afla,acr,1906.0,1692.0,711.0,,,709.5,,1122.0,,
afla,acra,1942.5,1882.5,1870.5,,,808.5,,1237.5,1236.0,
afla,acry,1912.0,1863.0,1914.0,,,748.5,,1378.5,,
afla,acto,1840.5,1342.5,1578.0,,,706.5,,,,
afla,actt,1856.0,1755.0,705.0,,,763.5,,,,
afla,acu,1779.5,1795.5,681.0,,,847.5,,1387.5,,
afla,ade,1841.0,1734.0,711.0,,,693.0,,,1258.5,
afla,adi,1946.5,1897.5,750.0,,,793.5,,1330.5,1234.5,
afla,adk,1943.5,1798.5,721.5,,,783.0,,1095.0,1248.0,
afla,adn,1943.5,1800.0,726.0,,,787.5,,1090.5,1249.5,
afla,adt,1932.5,1893.0,720.0,,,786.0,,,,
afla,aeb,1896.5,1494.0,1777.5,,,687.0,,,,
afla,aeh,2024.5,1876.5,1030.5,,,849.0,,1261.5,1248.0,
afla,aei,2003.0,2106.0,2073.0,,,870.0,,,,
afla,aep,1779.5,1804.5,702.0,,,826.5,,,,
afla,aev,2627.0,3156.0,2329.5,,,,,,2247.0,
afla,aez,1898.0,1683.0,1788.0,,,664.5,,,,
afla,afa,1928.0,1947.0,753.0,,,,,,1273.5,
afla,afc,1857.5,2259.0,2133.0,,,,,,1336.5,
afla,afi,1952.0,1935.0,745.5,,,787.5,,1369.5,,
afla,afla,3040.0,5064.0,4446.0,,,2988.0,,4440.0,3924.0,
afla,afq,1942.0,1987.5,769.5,,,,,,1212.0,
afla,agc,1920.5,1732.5,717.0,,,,,1290.0,,
afla,agt,1938.5,1825.5,712.5,,,,,1335.0,,
afla,agv,1771.0,1692.0,741.0,,,,,,,
afla,aht,1816.5,1834.5,1759.5,,,,,1255.5,,
afla,ahu,1881.5,1768.5,711.0,,,,,1156.5,1200.0,
afla,ahz,2697.0,3075.0,2391.0,,,933.0,,,2128.5,
afla,ais,1932.5,1873.5,1926.0,,,828.0,,1215.0,,
afla,aji,1904.0,1662.0,1638.0,,,,,,,
afla,ajs,1971.0,1819.5,723.0,,,832.5,,1122.0,1254.0,
afla,aka,1929.0,2032.5,190.5,,,852.0,,,,
afla,alg,1926.0,2061.0,961.5,,,,,,,
afla,ali,1866.0,1777.5,712.5,,,,,1182.0,1215.0,
afla,aln,1967.0,1984.5,2055.0,,,903.0,,1399.5,,
afla,alp,1907.0,2209.5,2104.5,,,888.0,,,1372.5,
afla,als,2196.5,2682.0,2352.0,,,886.5,,,2209.5,
afla,alti,2700.5,3150.0,2350.5,,,,,,2118.0,
afla,alv,1948.5,1600.5,738.0,,,,,,,
afla,amah,1874.5,1927.5,1920.0,,,738.0,,1288.5,,
afla,amc,1899.0,,2055.0,,,918.0,,1510.5,,
afla,ame,,,979.5,,,,,,,
afla,amh,1893.5,2107.5,,,,807.0,,1500.0,,
afla,ami,1912.0,1648.5,679.5,,,717.0,,1146.0,,
afla,amih,1920.5,1720.5,699.0,,,858.0,,1240.5,,
afla,amol,1871.5,2308.5,2125.5,,,,,,,
afla,amr,1986.0,1950.0,2106.0,,,448.5,,,,
afla,ams,1882.5,1432.5,672.0,,,612.0,,,,
afla,amv,1908.5,1678.5,709.5,,,714.0,,1147.5,,
afla,amyb,1925.5,1690.5,690.0,,,759.0,,1296.0,,
afla,amyy,1906.5,1722.0,691.5,,,684.0,,1249.5,,
afla,ane,1885.5,1426.5,1599.0,,,711.0,,,,
afla,anp,2900.0,3681.0,2754.0,,,,,,2689.5,
afla,ant,1889.5,2173.5,2160.0,,,,,,,
afla,aoa,1816.5,1861.5,1947.0,,,754.5,,1126.5,1213.5,
afla,aol,1966.0,1746.0,703.5,,,744.0,,1203.0,1251.0,
afla,aon,1921.5,1860.0,745.5,,,801.0,,1197.0,1261.5,
afla,aos,1892.0,1638.0,1633.5,,,751.5,,,,
afla,apac,1958.0,1933.5,727.5,,,853.5,,1306.5,,
afla,ape,1411.5,,780.0,,,,,,,
afla,apn,1940.5,1810.5,1912.5,,,754.5,,1372.5,,
afla,apoc,1860.5,2221.5,2137.5,,,,,,,
afla,apom,1902.0,1975.5,744.0,,,829.5,,,,
afla,app,1914.0,1894.5,708.0,,,729.0,,1209.0,1278.0,
afla,apre,1932.5,1654.5,684.0,,,706.5,,1159.5,,
afla,aprs,2018.5,1998.0,721.5,,,825.0,,,,
afla,aqa,2700.0,3111.0,2412.0,,,903.0,,,,
afla,aql,2010.5,,750.0,,,855.0,,1200.0,,
afla,aqs,1970.0,2002.5,741.0,,,823.5,,1330.5,,
afla,arc,1890.0,2229.0,2176.5,,,856.5,,,,
afla,arl,1936.5,1723.5,1878.0,,,714.0,,1339.5,,
afla,arm,1927.0,1537.5,1932.0,,,778.5,,,,
afla,aro,1944.5,1837.5,687.0,,,,,1330.5,1242.0,
afla,art,1940.5,1756.5,1906.5,,,699.0,,1375.5,,
afla,artp,1941.0,1794.0,1920.0,,,679.5,,1300.5,,
afla,aru,1947.5,1771.5,1914.0,,,685.5,,1320.0,,
afla,ary,1939.5,1725.0,1876.5,,,781.5,,1317.0,,
afla,asc,1400.0,,795.0,,,,,,,
afla,asd,1885.0,1723.5,720.0,,,828.0,,,,
afla,asip,1924.5,1948.5,820.5,,,,,,,
afla,ask,1896.0,2251.5,2127.0,,,,,,,
afla,asl,2396.5,3156.0,2362.5,,,,,,2265.0,
afla,asv,1902.0,1962.0,745.5,,,829.5,,,,
afla,asw,1944.0,1956.0,730.5,,,,,1249.5,,
afla,ata,1938.0,1837.5,699.0,,,,,1336.5,,
afla,atp,1860.5,2269.5,2125.5,,,,,,1363.5,
afla,atu,1936.5,1788.0,684.0,,,,,1281.0,,
afla,atw,1921.0,1837.5,1857.0,,,693.0,,1188.0,1191.0,
afla,ava,1950.5,1873.5,930.0,,,,,,,
afla,axy,1942.5,1915.5,720.0,,,789.0,,1195.5,1219.5,
afla,aza,1908.0,1909.5,1893.0,,,718.5,,1215.0,1269.0,
afla,azc,1942.5,1714.5,685.5,,,762.0,,1140.0,,
afla,azd,1938.5,1878.0,1917.0,,,709.5,,1183.5,1230.0,
afla,azi,1933.5,1848.0,726.0,,,724.5,,1206.0,1231.5,
afla,azl,1870.5,1765.5,712.5,,,,,1141.5,,
afla,azm,1885.5,1750.5,705.0,,,751.5,,1158.0,,
afla,azo,1918.5,1851.0,1935.0,,,763.5,,1120.5,1215.0,
afla,azq,1922.5,1846.5,714.0,,,804.0,,1185.0,1222.5,
afla,azr,1925.0,1843.5,1918.5,,,748.5,,1123.5,1261.5,
afla,azt,1865.0,1707.0,805.5,,,,,1123.5,1186.5,
afla,azz,1890.0,1671.0,844.5,,,705.0,,1126.5,1186.5,
afla,babb,1929.5,1828.5,723.0,,,825.0,,,1263.0,
afla,babr,1929.5,1828.5,720.0,,,826.5,,,1263.0,
afla,bac,1943.5,1836.0,1921.5,,,723.0,,,,
afla,bacb,1962.0,2100.0,814.5,,,802.5,,1624.5,,
afla,bacl,1961.0,2109.0,835.5,,,798.0,,1621.5,,
afla,baco,1933.0,2062.5,823.5,,,913.5,,,,
afla,bacp,1963.5,2076.0,819.0,,,807.0,,1612.5,,
afla,bacs,1965.0,2094.0,826.5,,,843.0,,,,
afla,bacy,1967.5,2100.0,834.0,,,805.5,,1624.5,,
afla,bae,1960.0,2152.5,822.0,,,804.0,,1623.0,,
afla,bag,1904.0,2158.5,816.0,,,777.0,,,,
afla,bage,1901.0,2055.0,760.5,,,886.5,,1386.0,,
afla,bah,1860.5,2262.0,859.5,,,837.0,,,,
afla,bai,1860.5,2265.0,859.5,,,837.0,,,,
afla,bao,1939.0,2113.5,814.5,,,817.5,,,,
afla,bapi,1965.5,2019.0,744.0,,,867.0,,,,
afla,baq,1940.5,2085.0,813.0,,,805.5,,,,
afla,bar,1855.5,2265.0,859.5,,,837.0,,,,
afla,bast,1882.5,1785.0,744.0,,,,,,,
afla,bat,1863.0,2265.0,867.0,,,837.0,,,,
afla,bax,1935.0,2265.0,867.0,,,837.0,,,,
afla,bay,1961.5,2085.0,811.5,,,813.0,,1611.0,,
afla,baz,1954.0,2113.5,817.5,,,817.5,,,,
afla,bbet,1963.5,1767.0,,,,766.5,,1248.0,1242.0,
afla,bbh,1930.0,1875.0,723.0,,,,,,,
afla,bbm,1927.0,1869.0,723.0,,,,,,,
afla,bbr,1930.0,1872.0,723.0,,,,,,,
afla,bbt,1962.0,1779.0,706.5,,,,,1233.0,1254.0,
afla,bby,1957.0,2230.5,856.5,,,831.0,,,,
afla,bcad,2298.0,2626.5,2160.0,,,,,,1971.0,
afla,bce,1859.0,2227.5,855.0,,,849.0,,,,
afla,bcl,1943.5,2139.0,817.5,,,945.0,,1707.0,,
afla,bfr,2187.0,2451.0,736.5,,,,,,,
afla,bja,1964.5,1689.0,693.0,,,781.5,,1236.0,1194.0,
afla,bjs,1940.5,2113.5,829.5,,,823.5,,1576.5,,
afla,bju,1961.5,1720.5,690.0,,,781.5,,1266.0,,
afla,bld,1937.5,2131.5,840.0,,,798.0,,1642.5,,
afla,blh,1946.0,2152.5,846.0,,,801.0,,1641.0,,
afla,bli,1956.5,2131.5,793.5,,,805.5,,1642.5,,
afla,bly,1939.0,1713.0,1903.5,,,,,,,
afla,bma,1862.0,1804.5,739.5,,,705.0,,1107.0,1209.0,
afla,bmab,1932.0,1804.5,739.5,,,730.5,,1107.0,,
afla,bmyc,1914.5,2242.5,871.5,,,832.5,,,,
afla,bnc,1804.0,2257.5,858.0,,,834.0,,,,
afla,boz,1921.5,2112.0,2004.0,,,793.5,,,,
afla,bpa,1930.0,1872.0,721.5,,,,,,,
afla,bpz,1935.0,1789.5,741.0,,,717.0,,1099.5,1207.5,
afla,bql,1942.0,2113.5,814.5,,,784.5,,,,
afla,bqy,1962.0,2100.0,814.5,,,772.5,,1621.5,,
afla,bra,1965.0,1708.5,693.0,,,,,1240.5,,
afla,bsau,1913.0,1431.0,1812.0,,,649.5,,,,
afla,bsui,1813.0,1821.0,723.0,,,874.5,,,1264.5,
afla,bth,1922.0,2620.5,706.5,,,,,,,
afla,btr,1973.0,2019.0,762.0,,,,,,,
afla,bxe,1855.0,1938.0,742.5,,,810.0,,,,
afla,cac,909.0,2287.5,,,,,,,,
afla,cau,1719.5,1851.0,1110.0,,,,,,,
afla,cgl,1916.0,1821.0,1942.5,,,849.0,,,,
afla,cko,217.5,2004.0,745.5,,,787.5,,1330.5,,
afla,ctu,1899.0,1953.0,745.5,,,816.0,,1231.5,,
afla,ddn,1961.5,1789.5,580.5,,,,,,,
afla,dha,,,889.5,,,,,,,
afla,dse,,,895.5,,,,,,,
afla,eco,1892.0,2004.0,763.5,,,880.5,,,,
afla,ent,1892.5,2076.0,765.0,,,826.5,,1347.0,,
afla,esa,217.5,1944.0,742.5,,,807.0,,1258.5,,
afla,fjo,2572.5,2934.0,2190.0,,,1408.5,,,,
afla,gme,1936.0,1905.0,2089.5,,,883.5,,,,
afla,hde,1893.0,2025.0,804.0,,,,,,,
afla,hpy,1904.5,2080.5,823.5,,,,,,,
afla,kpn,1909.0,1995.0,739.5,,,675.0,,1231.5,,
afla,lap,1940.0,1917.0,702.0,,,,,1369.5,,
afla,lmo,1915.5,2217.0,819.0,,,,,,,
afla,mag,1944.0,1821.0,1929.0,,,,,1204.5,1302.0,
afla,mcp,1919.0,1981.5,,,,,,,,
afla,mlo,1925.0,1678.5,714.0,,,,,1261.5,,
afla,mmu,,,823.5,,,,,,,
afla,mtu,1917.0,1747.5,1894.5,,,801.0,,,,
afla,mxa,1911.0,1827.0,771.0,,,,,,,
afla,nfa,1949.0,1674.0,679.5,,,741.0,,,,
afla,nme,,1969.5,2169.0,,,,,,,
afla,nos,1899.5,1852.5,948.0,,,916.5,,,,
afla,npc,1886.0,1431.0,1726.5,,,742.5,,1251.0,,
afla,nwi,1976.5,1765.5,685.5,,,814.5,,,,
afla,pae,1956.5,1821.0,769.5,,,687.0,,1245.0,1206.0,
afla,pam,1890.0,2025.0,786.0,,,,,1312.5,,
afla,paq,1876.5,2025.0,781.5,,,,,1312.5,,
afla,par,1996.5,2098.5,2049.0,,,970.5,,,,
afla,pcr,1999.0,2047.5,810.0,,,934.5,,1479.0,,
afla,pdo,1898.5,1782.0,,,,,,,,
afla,pfl,1955.0,1945.5,771.0,,,,,,,
afla,pmh,1860.0,1911.0,966.0,,,,,,,
afla,pps,,,834.0,,,,,,,
afla,ppu,1932.0,1900.5,760.5,,,720.0,,,,
afla,psa,903.5,1870.5,756.0,,,823.5,,1254.0,1263.0,
afla,rbd,1937.0,1821.0,1906.5,,,,,,,
afla,rfr,1933.5,1954.5,769.5,,,820.5,,1267.5,1269.0,
afla,rhc,1836.0,1747.5,727.5,,,,,1222.5,,
afla,rpa,1971.0,1746.0,703.5,,,,,,1237.5,
afla,rso,1867.5,1866.0,723.0,,,777.0,,1171.5,1224.0,
afla,sau,1938.0,2193.0,843.0,,,,,,,
afla,sco,1920.0,1699.5,1773.0,,,672.0,,1216.5,,
afla,sfr,1925.5,2082.0,2100.0,,,961.5,,1473.0,,
afla,sil,1842.5,1759.5,1720.5,,,,,,1236.0,
afla,slr,1818.0,2098.5,939.0,,,,,,,
afla,son,1921.5,2016.0,2113.5,,,,,,,
afla,spe,1895.5,2034.0,771.0,,,834.0,,1371.0,,
afla,spy,1628.0,2059.5,,,,,,,,
afla,srr,1871.0,2014.5,769.5,,,811.5,,1315.5,,
afla,syn,1947.0,1794.0,906.0,,,,,,,
afla,tpo,1777.0,1957.5,,,,,,,,
afla,ttu,1914.5,1986.0,2152.5,,,940.5,,1389.0,,
afla,vch,1930.0,2091.0,2143.5,,,,,,,
afla,vpa,1809.0,2145.0,2170.5,,,,,1503.0,,
afla,wbr,1878.5,2007.0,,,,,,,,
afla,xcc,2011.0,1885.5,2007.0,,,721.5,,1213.5,,
afla,xoo,2008.0,1914.0,2019.0,,,,,,,
afq,aaa,2516.5,3262.5,1764.0,,,,,,,
afq,aaci,1981.5,2274.0,789.0,,,,,,,1767.0
afq,aalg,1848.5,2053.5,786.0,,,,,,1230.0,846.0
afq,aamb,1439.5,,871.5,,,,,,,
afq,aaq,2033.5,2124.0,841.5,,,,,,,
afq,aaqi,2001.5,1683.0,729.0,,,,,,,
afq,aaqu,3082.0,5340.0,2478.0,,,,,,3693.0,4437.0
afq,aasc,2152.5,2332.5,814.5,,,,,,,
afq,aba,1980.5,2290.5,1179.0,,,,,,,1911.0
afq,abo,2306.0,2641.5,837.0,,,,,,,
afq,ace,2051.0,2097.0,807.0,,,,,,,
afq,acet,2155.5,2337.0,804.0,,,,,,,984.0
afq,achr,2833.5,3750.0,1788.0,,,,,,2508.0,2584.5
afq,acib,1974.5,1677.0,711.0,,,,,,,
afq,acid,2537.5,3238.5,832.5,,,,,,1728.0,1032.0
afq,acii,2412.5,2656.5,1332.0,,,,,,,1710.0
afq,acin,2533.0,3231.0,835.5,,,,,,1719.0,
afq,acio,2544.0,3295.5,1677.0,,,,,,1776.0,1015.5
afq,acip,2540.5,3252.0,852.0,,,,,,1723.5,1036.5
afq,acis,2540.5,3252.0,1690.5,,,,,,1723.5,1036.5
afq,ack,2540.5,3354.0,837.0,,,,,,,2481.0
afq,acom,2614.0,3216.0,864.0,,,,,,1744.5,981.0
afq,acr,2101.0,2376.0,837.0,,,,,,,
afq,acra,2511.0,3225.0,832.5,,,,,,1752.0,
afq,acry,2041.0,2232.0,843.0,,,,,,,
afq,acto,1911.0,1959.0,738.0,,,,,,,
afq,actt,1994.0,2217.0,816.0,,,,,,,
afq,acu,2117.0,2478.0,1215.0,,,,,,,
afq,ade,2096.0,2302.5,1261.5,,,,,,1410.0,1888.5
afq,adi,2315.5,2668.5,1518.0,,,,,,2001.0,2476.5
afq,adk,2533.0,3238.5,1644.0,,,,,,1767.0,2562.0
afq,adn,2533.0,3238.5,1650.0,,,,,,1764.0,2565.0
afq,adt,2867.0,3739.5,1800.0,,,,,,,
afq,aeb,2009.0,1990.5,811.5,,,,,,,
afq,aeh,2317.0,2770.5,1090.5,,,,,,1978.5,946.5
afq,aei,2360.0,2274.0,801.0,,,,,,,
afq,aep,1946.0,2308.5,846.0,,,,,,,
afq,aev,1886.0,2050.5,760.5,,,,,,1224.0,819.0
afq,aez,2019.5,2193.0,810.0,,,,,,,
afq,afa,3065.0,4845.0,2430.0,,,,,,3387.0,4059.0
afq,afc,1998.5,1701.0,711.0,,,,,,1027.5,841.5
afq,afi,2322.5,2568.0,1222.5,,,,,,,
afq,afla,1942.0,1987.5,769.5,,,,,,1212.0,
afq,afq,3100.0,5370.0,2514.0,,,,,,3810.0,4560.0
afq,agc,2103.5,2407.5,829.5,,,,,,,936.0
afq,agt,2129.0,2434.5,820.5,,,,,,,925.5
afq,agv,1840.0,2296.5,1308.0,,,,,,,2038.5
afq,aht,1981.5,2338.5,855.0,,,,,,,945.0
afq,ahu,2127.5,2430.0,829.5,,,,,,2317.5,909.0
afq,ahz,1902.0,1881.0,723.0,,,,,,1195.5,
afq,ais,2864.0,3717.0,840.0,,,,,,,2572.5
afq,aji,1973.0,2287.5,801.0,,,,,,,
afq,ajs,2518.5,3241.5,1705.5,,,,,,1767.0,2550.0
afq,aka,2841.0,3561.0,837.0,,,,,,,
afq,alg,2224.5,2472.0,831.0,,,,,,,1494.0
afq,ali,2094.0,2449.5,840.0,,,,,,2344.5,918.0
afq,aln,2309.0,2637.0,835.5,,,,,,,
afq,alp,2070.5,1764.0,751.5,,,,,,1095.0,817.5
afq,als,1869.5,1933.5,763.5,,,,,,1215.0,
afq,alti,1866.5,2011.5,793.5,,,,,,1195.5,
afq,alv,2353.5,2221.5,1575.0,,,,,,,1768.5
afq,amah,2432.5,3022.5,870.0,,,,,,,1038.0
afq,amc,2253.0,,849.0,,,,,,,
afq,ame,,,744.0,,,,,,,
afq,amh,2252.0,2505.0,,,,,,,,
afq,ami,2015.5,2224.5,810.0,,,,,,,
afq,amih,2096.0,2440.5,805.5,,,,,,,943.5
afq,amol,2039.5,1699.5,699.0,,,,,,,
afq,amr,2085.0,2098.5,819.0,,,,,,,1813.5
afq,ams,2034.0,1969.5,832.5,,,,,,,
afq,amv,2109.5,2364.0,835.5,,,,,,,
afq,amyb,2024.5,2218.5,841.5,,,,,,,
afq,amyy,1981.5,2266.5,817.5,,,,,,,
afq,ane,1960.5,2026.5,756.0,,,,,,,1800.0
afq,anp,1958.0,1977.0,804.0,,,,,,1191.0,
afq,ant,2036.5,1753.5,717.0,,,,,,,
afq,aoa,2433.0,3202.5,868.5,,,,,,1780.5,975.0
afq,aol,2122.0,2367.0,814.5,,,,,,2223.0,954.0
afq,aon,2592.0,3406.5,1731.0,,,,,,1774.5,1035.0
afq,aos,1970.0,2229.0,777.0,,,,,,,1828.5
afq,apac,2346.5,2730.0,1518.0,,,,,,,2526.0
afq,ape,1465.5,,946.5,,,,,,,
afq,apn,2033.5,2182.5,820.5,,,,,,,
afq,apoc,1974.5,1711.5,696.0,,,,,,,
afq,apom,2155.5,2337.0,804.0,,,,,,,1626.0
afq,app,2569.5,3061.5,1509.0,,,,,,1444.5,1996.5
afq,apre,2045.0,2212.5,816.0,,,,,,,
afq,aprs,2378.5,2770.5,1389.0,,,,,,,1704.0
afq,aqa,1944.0,1879.5,721.5,,,,,,,
afq,aql,2577.5,,1702.5,,,,,,,946.5
afq,aqs,2589.5,3051.0,1489.5,,,,,,,1032.0
afq,arc,2022.0,1692.0,724.5,,,,,,,
afq,arl,2031.0,2208.0,850.5,,,,,,,
afq,arm,2008.0,1990.5,843.0,,,,,,,
afq,aro,2142.5,2424.0,822.0,,,,,,2169.0,927.0
afq,art,2023.0,2254.5,844.5,,,,,,,
afq,artp,2047.5,2242.5,828.0,,,,,,,
afq,aru,2046.5,2271.0,837.0,,,,,,,
afq,ary,2031.0,2205.0,844.5,,,,,,,
afq,asc,1430.0,,1036.5,,,,,,,1486.5
afq,asd,1988.5,2125.5,820.5,,,,,,,
afq,asip,2236.5,2488.5,1362.0,,,,,,,1579.5
afq,ask,1993.5,1728.0,709.5,,,,,,,
afq,asl,1682.5,1933.5,753.0,,,,,,1191.0,
afq,asv,2155.5,2334.0,811.5,,,,,,,1627.5
afq,asw,2845.5,3754.5,1843.5,,,,,,,
afq,ata,2130.0,2436.0,819.0,,,,,,,922.5
afq,atp,1973.0,1693.5,687.0,,,,,,1026.0,837.0
afq,atu,2115.0,2356.5,838.5,,,,,,,939.0
afq,atw,2573.5,3204.0,849.0,,,,,,2041.5,987.0
afq,ava,1986.5,1831.5,1104.0,,,,,,,
afq,axy,2839.5,3712.5,1807.5,,,,,,2493.0,2596.5
afq,aza,2566.5,3129.0,841.5,,,,,,1719.0,987.0
afq,azc,2113.5,2386.5,843.0,,,,,,,
afq,azd,2594.0,3105.0,834.0,,,,,,1761.0,985.5
afq,azi,2574.0,3099.0,1557.0,,,,,,1731.0,996.0
afq,azl,2101.5,2455.5,822.0,,,,,,,924.0
afq,azm,2119.5,2461.5,832.5,,,,,,,
afq,azo,2562.0,3204.0,868.5,,,,,,1774.5,970.5
afq,azq,2614.0,3208.5,1570.5,,,,,,1771.5,975.0
afq,azr,2585.0,3208.5,870.0,,,,,,1725.0,970.5
afq,azt,2136.5,2467.5,829.5,,,,,,2313.0,942.0
afq,azz,2128.5,2490.0,841.5,,,,,,2263.5,934.5
afq,babb,2121.5,2464.5,825.0,,,,,,2110.5,940.5
afq,babr,2121.5,2464.5,825.0,,,,,,2110.5,940.5
afq,bac,2611.0,3267.0,826.5,,,,,,,
afq,bacb,2107.5,2047.5,1245.0,,,,,,,
afq,bacl,2099.0,1953.0,1218.0,,,,,,,
afq,baco,2117.5,2064.0,1255.5,,,,,,,
afq,bacp,2106.0,2053.5,1242.0,,,,,,,
afq,bacs,2109.0,2070.0,1221.0,,,,,,,
afq,bacy,2110.0,1953.0,1216.5,,,,,,,
afq,bae,2104.0,2004.0,1200.0,,,,,,,
afq,bag,2055.5,2137.5,1261.5,,,,,,,
afq,bage,2316.5,2599.5,1452.0,,,,,,,
afq,bah,1997.0,1918.5,1228.5,,,,,,,
afq,bai,2001.5,1915.5,1228.5,,,,,,,
afq,bao,2077.0,2061.0,1212.0,,,,,,,
afq,bapi,2109.5,2295.0,784.5,,,,,,,
afq,baq,2080.0,2040.0,1251.0,,,,,,,
afq,bar,1996.5,1915.5,1228.5,,,,,,,
afq,bast,1924.5,2245.5,813.0,,,,,,,
afq,bat,2004.0,1915.5,1249.5,,,,,,,
afq,bax,2071.5,1915.5,1249.5,,,,,,,
afq,bay,2102.5,2064.0,1242.0,,,,,,,
afq,baz,2102.5,2061.0,1215.0,,,,,,,
afq,bbet,2122.5,2400.0,,,,,,,2155.5,943.5
afq,bbh,2837.5,3579.0,1848.0,,,,,,,
afq,bbm,2834.5,3589.5,1845.0,,,,,,,
afq,bbr,2837.5,3576.0,1848.0,,,,,,,
afq,bbt,2109.0,2433.0,802.5,,,,,,2196.0,937.5
afq,bby,2101.0,1923.0,1209.0,,,,,,,
afq,bcad,1929.0,1969.5,777.0,,,,,,1189.5,1804.5
afq,bce,1998.5,1929.0,1218.0,,,,,,,
afq,bcl,2119.0,2085.0,1237.5,,,,,,,
afq,bfr,1878.0,2140.5,1120.5,,,,,,,
afq,bja,2105.5,2353.5,816.0,,,,,,2154.0,949.5
afq,bjs,2084.5,1963.5,1203.0,,,,,,,
afq,bju,2111.5,2379.0,820.5,,,,,,,1773.0
afq,bld,2087.5,2041.5,1278.0,,,,,,,1717.5
afq,blh,2085.5,2032.5,1287.0,,,,,,,1717.5
afq,bli,2100.5,2041.5,1263.0,,,,,,,1717.5
afq,bly,2024.5,2187.0,841.5,,,,,,,
afq,bma,2522.0,3174.0,1675.5,,,,,,1675.5,1965.0
afq,bmab,2599.5,3174.0,1675.5,,,,,,,1965.0
afq,bmyc,2058.5,1914.0,1177.5,,,,,,,
afq,bnc,1903.0,1923.0,1222.5,,,,,,,
afq,boz,2856.0,3354.0,849.0,,,,,,,
afq,bpa,2837.5,3573.0,1845.0,,,,,,,
afq,bpz,2602.5,3142.5,1672.5,,,,,,1678.5,1959.0
afq,bql,2083.0,2061.0,1212.0,,,,,,,
afq,bqy,2107.5,2047.5,1245.0,,,,,,,
afq,bra,2109.0,2424.0,823.5,,,,,,,927.0
afq,bsau,2030.0,1962.0,772.5,,,,,,,
afq,bsui,1981.0,2457.0,829.5,,,,,,2104.5,936.0
afq,bth,1575.5,2022.0,1135.5,,,,,,,
afq,btr,2132.0,2130.0,778.5,,,,,,,
afq,bxe,2524.0,3268.5,1627.5,,,,,,,
afq,cac,930.0,1780.5,,,,,,,,
afq,cau,1854.5,2245.5,1072.5,,,,,,,
afq,cgl,2025.5,2139.0,859.5,,,,,,,
afq,cko,303.0,2707.5,1450.5,,,,,,,
afq,ctu,2341.5,2671.5,1482.0,,,,,,,
afq,ddn,2104.0,2184.0,1060.5,,,,,,,
afq,dha,,,793.5,,,,,,,
afq,dse,,,892.5,,,,,,,
afq,eco,2307.5,2635.5,1443.0,,,,,,,
afq,ent,2293.0,2670.0,1446.0,,,,,,,
afq,esa,300.0,2686.5,1435.5,,,,,,,
afq,fjo,1909.5,1903.5,760.5,,,,,,,1717.5
afq,gme,2186.5,2377.5,829.5,,,,,,,1749.0
afq,hde,2265.0,2197.5,1261.5,,,,,,,
afq,hpy,1999.0,1873.5,1240.5,,,,,,,
afq,kpn,2279.5,2677.5,1456.5,,,,,,,
afq,lap,2127.5,2370.0,837.0,,,,,,,
afq,lmo,2083.5,1966.5,1156.5,,,,,,,
afq,mag,2128.5,2515.5,835.5,,,,,,1420.5,946.5
afq,mcp,2009.0,1500.0,,,,,,,,
afq,mlo,2070.5,2415.0,831.0,,,,,,,
afq,mmu,,,784.5,,,,,,,
afq,mtu,2014.5,2166.0,852.0,,,,,,,
afq,mxa,2154.0,2529.0,1311.0,,,,,,,
afq,nfa,2022.5,2281.5,810.0,,,,,,,
afq,nme,,2587.5,847.5,,,,,,,2281.5
afq,nos,1952.0,1857.0,1074.0,,,,,,,
afq,npc,1976.0,1992.0,817.5,,,,,,,
afq,nwi,2113.0,2416.5,822.0,,,,,,,
afq,pae,2384.0,2745.0,1579.5,,,,,,2112.0,1009.5
afq,pam,2325.0,2631.0,1425.0,,,,,,,
afq,paq,2316.0,2641.5,1425.0,,,,,,,
afq,par,2352.0,2340.0,826.5,,,,,,,
afq,pcr,2357.5,2263.5,1312.5,,,,,,,
afq,pdo,1928.5,2280.0,,,,,,,,
afq,pfl,2355.5,2737.5,1563.0,,,,,,,
afq,pmh,1942.5,1404.0,934.5,,,,,,,
afq,pps,,,814.5,,,,,,,
afq,ppu,2344.5,2752.5,1558.5,,,,,,,
afq,psa,938.0,2734.5,1516.5,,,,,,2055.0,1036.5
