species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaa,app,2556.0,3327.0,1657.5,,,1041.0,,3015.0,,
aaa,apre,2033.0,2541.0,891.0,1758.0,3907.5,1038.0,,1740.0,,
aaa,aprs,2326.0,2821.5,1413.0,1872.0,4431.0,993.0,,,,
aaa,aqa,1905.0,1543.5,670.5,,,654.0,,,,
aaa,aql,2495.0,,1765.5,1947.0,4521.0,958.5,,2809.5,,
aaa,aqs,2514.5,3208.5,1536.0,1986.0,4537.5,988.5,,2787.0,,
aaa,arc,1990.5,1372.5,594.0,,,591.0,,,,
aaa,arl,2010.0,2413.5,960.0,1710.0,3879.0,1029.0,,1755.0,,
aaa,arm,1988.5,2163.0,922.5,1617.0,3676.5,996.0,,,,
aaa,aro,2106.5,2503.5,900.0,,,,,2314.5,,
aaa,art,2005.0,2382.0,928.5,1698.0,3756.0,966.0,,1780.5,,
aaa,artp,2014.5,2377.5,936.0,1654.5,3784.5,1008.0,,1825.5,,
aaa,aru,2004.5,2368.5,943.5,1668.0,3796.5,1021.5,,1816.5,,
aaa,ary,2013.0,2409.0,972.0,1710.0,3901.5,970.5,,1749.0,,
aaa,asc,1422.5,,1126.5,,,,,,,
aaa,asd,2023.0,2181.0,850.5,1579.5,3489.0,973.5,,,,
aaa,asip,2232.0,2475.0,1414.5,,,,,,,
aaa,ask,1941.0,1416.0,591.0,,,,,,,
aaa,asl,1736.5,1725.0,685.5,,,,,,,
aaa,asv,2113.5,2188.5,810.0,,,856.5,,,,
aaa,asw,2545.5,3610.5,1903.5,,,,,2683.5,,
aaa,ata,2098.5,2508.0,895.5,,,,,2311.5,,
aaa,atp,1961.0,1378.5,574.5,,,,,,,
aaa,atu,2097.0,2434.5,871.5,,,,,2352.0,,
aaa,atw,2452.0,3472.5,942.0,2310.0,5520.0,1086.0,,2997.0,,
aaa,ava,2007.5,1696.5,1017.0,,,,,,,
aaa,axy,2557.5,3697.5,1909.5,2079.0,4825.5,1566.0,,2820.0,,
aaa,aza,2553.0,3364.5,963.0,,,1044.0,,3010.5,,
aaa,azc,2116.5,2617.5,903.0,2091.0,4894.5,883.5,,2557.5,,
aaa,azd,2532.5,3439.5,949.5,1924.5,4425.0,1096.5,,3085.5,,
aaa,azi,2547.0,3375.0,1647.0,1891.5,4426.5,1087.5,,3052.5,,
aaa,azl,2158.5,2679.0,912.0,,,,,2497.5,,
aaa,azm,2152.5,2643.0,894.0,1882.5,4428.0,994.5,,2481.0,,
aaa,azo,2554.5,3468.0,939.0,,,972.0,,3109.5,,
aaa,azq,2539.0,3444.0,1696.5,1896.0,4560.0,1032.0,,3172.5,,
aaa,azr,2549.0,3465.0,942.0,,,994.5,,3105.0,,
aaa,azt,2132.0,2704.5,952.5,,,,,2536.5,,
aaa,azz,2152.5,2722.5,987.0,,,1063.5,,2544.0,,
aaa,babb,2127.5,2430.0,864.0,2007.0,4282.5,832.5,,,,
aaa,babr,2127.5,2430.0,867.0,2007.0,4279.5,829.5,,,,
aaa,bac,2585.5,3576.0,963.0,2146.5,4818.0,1045.5,,,,
aaa,bacb,2061.0,2016.0,1221.0,1351.5,3123.0,808.5,,1272.0,,
