4.766026247504676627e-01	9.718790314790932694e-01	8.161840189885843921e-01	4.988116528752106760e-01	6.695073585634417901e-01	7.625549343978140771e-01	7.731588044801440684e-01	1.108007310721012884e+00	9.708257490229118547e-01	6.425630746905711677e-01	4.484280461090592862e-01
9.067898244330167001e-01	6.851488432345536062e-01	4.407867587981689761e-01	6.786158749510425858e-01	6.618326688648752398e-01	7.469898658168154792e-01	1.194411823920052962e+00	1.149627764832627630e+00	9.721430262082554341e-01	8.917040597886458642e-01	5.660986639011492683e-01
6.493977594646883622e-01	3.932191452631654260e-01	8.770108150933315638e-01	7.046405973275313706e-01	6.050198027103693699e-01	1.947401367157532537e+00	6.378162719473610132e-01	5.462100773558425937e-01	6.672827573227118059e-01	5.903003287402208699e-01	4.278798592991992500e-01
1.938620934308829882e-02	1.089595976652474096e+00	9.458165203627870721e-01	1.128991116286464536e+00	1.211711785278025921e+00	1.250188103219426639e+00	1.227488136829990362e+00	1.506755173588689489e+00	1.235328497951733384e+00	9.933882090757453209e-01	4.769804020837201119e-01
9.034669836978427293e-01	1.211921401463497361e+00	1.364137391517947995e+00	1.140578539561419191e+00	5.611950198354720420e+00	1.125381942562260873e+00	1.198654616897921743e+00	1.255110853949464422e+00	8.175367681094131145e-01	6.887209167251278075e-01	8.380773921561779360e-01
7.153448548110021843e-01	1.139657981558944710e+00	1.559739361365986676e+00	2.309975261652581047e+00	8.872898092832700589e-01	1.773058028413973863e+00	1.776660958600637219e+00	2.307041954918855442e+00	1.376993597851761342e+00	1.340094881825890649e+00	4.738953512612958940e-01
9.025174819918581059e-01	1.074210465457869024e+00	1.745201631504988082e+00	1.474989499858462061e+00	3.254390331883915799e+00	1.759746192610674997e+00	3.264388693766576033e+00	2.491811205273378516e+00	2.280918114843451860e+00	4.443484128111034437e+00	1.826369712337760687e+00
1.225742319600080288e+00	9.740248306022333269e-01	1.946642605712667784e+00	9.021957102376972903e-01	2.681936877789785623e+00	2.455663488181471177e+00	2.027381994588768332e+00	1.315481615214630084e-01	3.288402669275410251e+00	1.251713355453784038e+00	8.999858432750253989e-01
7.044237580876111515e-01	8.837534917897061915e-01	1.164492399936645883e+00	2.170780561671439735e+00	1.658654888117798043e+00	2.355274805783500458e+00	2.371210577040856471e+00	2.832072570080259144e+00	4.188218171132591650e+00	2.987594257477820037e+00	9.922164643713663468e-01
1.203255422009707365e+00	1.513370389647840986e+00	1.800196240397819336e+00	2.530780201289714260e+00	3.273095898532597303e+00	2.278987013669331763e+00	2.764446241457162667e+00	3.634141645193805115e+00	3.556146628787203667e+00	1.868583251676674717e+00	1.007223863909779249e+00
