4.285589	6.688735	6.918955	7.100410	7.328968	7.249342	7.691784	8.901684	9.258619	7.411901	5.833491
7.506868	7.425997	6.618175	8.117232	6.085755	8.045601	10.207274	10.112419	9.542985	9.081372	7.273198
3.762569	3.899503	4.871797	4.699215	4.374277	7.738888	4.828918	4.735576	5.033206	4.756811	3.274555
3.708548	6.624384	5.990719	6.092766	5.628016	5.109444	5.785703	6.688328	6.202331	5.587497	4.434992
4.438779	4.757554	4.145005	4.309927	10.565830	4.271422	4.313370	4.348591	4.474711	4.042682	3.171717
1.921642	2.603416	3.743518	4.392874	3.016298	3.096673	2.878362	3.407395	2.972905	2.645868	1.533107
1.626405	2.022309	2.748065	2.724019	4.157986	2.951410	4.031195	3.585703	2.965867	4.816916	2.225708
1.772719	1.417086	2.395261	1.289821	3.463530	3.056678	2.966485	0.720884	4.407125	1.744503	1.155781
1.089697	1.489043	1.567366	3.143171	2.614414	3.091312	2.870097	3.261299	5.085082	3.944625	1.842513
1.869262	2.201241	2.450597	3.428182	4.377159	3.705204	4.194185	5.037985	4.619723	2.841698	1.131444
