0.014035	0.062854	0.474449	0.711893	1.124743	0.990342	1.174368	1.173275	1.819020	0.562298	0.045733
0.057587	0.172202	0.492224	0.760793	1.057705	1.138594	1.092708	1.301371	2.421599	1.852839	0.047576
0.068460	0.328052	0.813642	1.192000	1.109579	0.871956	0.877469	1.052078	1.155484	0.112238	0.032807
0.086472	0.958659	1.033815	1.360607	1.330461	1.357181	1.382274	1.813168	1.912565	1.109869	0.063775
0.576621	1.001949	1.375613	1.374877	1.759301	1.696536	2.141343	1.893190	2.592582	0.274065	0.133379
0.844130	1.745762	1.560893	0.806887	0.969913	0.892091	1.050210	1.027377	1.528947	2.421730	0.051470
0.064323	0.789794	1.625724	0.616683	1.925739	1.410936	2.111870	1.561249	1.796131	1.955350	0.054125
0.622147	1.400023	1.268849	1.774043	2.325222	0.710238	1.116026	1.413483	1.618644	0.045933	0.015976
0.040476	0.100033	1.539196	1.466029	0.630552	0.910224	1.228246	1.948163	2.728485	2.255430	0.064987
0.105152	0.194712	1.083343	1.395611	1.356574	0.705648	1.395309	2.050225	2.249899	0.107065	0.022380
